GMID,Market,PRODUCT_FAMILY,DOSAGE_STRENGTH,MATERIAL_TYPE,LSD_STATUS,MCO_SEGMENTATION,STRATEGY_SEGMENTATION,SMART_SEGMENTATION
800040,LK,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
110054,PE,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
160007,CN,16,500 MG/25 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
400006,PR,4,3 KIU,FG,No,Top MCO,Auto Piloted,Secure
120026,TW,12,100 MG/10 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110054,US,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
800077,TW,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
110020,SG,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
110055,PY,11,50 MG/ML,FG,No,Regular MCO,Auto Piloted,Secure
300014,BE,3,10 MG,FG,No,Top MCO,Auto Piloted,Secure
110057,CN,11,50 MG,FG,Global,Top MCO,Platinum,Secure
130033,UN,13,20 MG/5 ML,FG,No,Regular MCO,Auto Piloted,Secure
110012,PL,11,50 MG,FG,No,Major MCO,Auto Piloted,Secure
400061,NL,4,250 IU,FG,No,Top MCO,Auto Piloted,Secure
140048,PA,14,"150 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
110001,SI,11,50 MG/10 ML,FG,No,Regular MCO,Auto Piloted,Secure
110025,BE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
110057,DE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
150138,FR,15,"200 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Supply Growth
800032,GR,8,400 IU,FG,No,Major MCO,Auto Piloted,Secure
150255,DB,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110057,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
100010,GB,1,250 IU,FG,No,Top MCO,Auto Piloted,Secure
170093,FR,17,35 MG,FG,No,Top MCO,Auto Piloted,Secure
140067,0,14,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
700042,HU,7,84 MG,FG,No,Major MCO,Auto Piloted,Secure
140033,TH,14,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
110021,AU,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
400043,NL,4,500 IU,FG,No,Top MCO,Auto Piloted,Secure
110057,NL,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
150158,FR,15,300 MG/2 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
800059,GB,8,400 IU,FG,No,Top MCO,Auto Piloted,Secure
800040,JP,8,400 IU,FG,No,Top MCO,Auto Piloted,Secure
700021,CO,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
110028,AU,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
110058,DE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
150047,DB,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110058,EE,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
150112,NA,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110058,HU,11,50 MG,FG,No,Major MCO,Auto Piloted,Secure
800027,PE,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
110058,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
700011,BE,7,84 MG,FG,No,Top MCO,Auto Piloted,Secure
110058,LT,11,50 MG,FG,Global,Regular MCO,Platinum,Secure
800040,CL,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
160033,FR,16,500 MG/25 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
160004,FR,16,500 MG/25 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
150110,HK,15,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Supply Growth
110058,NL,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
110059,DE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
170016,CO,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
110037,AU,11,50 MG/ML,FG,No,Regular MCO,Auto Piloted,Secure
110014,FI,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
160070,HK,16,500 MG/25 ML,FG,No,Regular MCO,Gold,Supply Growth
170067,M6,17,5 MG/1 ML,FG,No,Regular MCO,Auto Piloted,Secure
110059,EE,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
800076,PL,8,400 IU,FG,No,Major MCO,Auto Piloted,Secure
800077,CE,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
110059,HU,11,50 MG,FG,No,Major MCO,Auto Piloted,Secure
170068,AR,17,35 MG,FG,Global,Regular MCO,Platinum,Secure
600054,TH,6,"2,9 MG/5 ML",FG,No,Regular MCO,Auto Piloted,Secure
400005,0,4,1 KIU,FG,No,Regular MCO,Auto Piloted,Secure
140040,UN,14,"150 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
160035,FR,16,100 MG/5 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
110059,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
140013,RU,14,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
800036,UA,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
140015,KW,14,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
800031,UA,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
110059,NL,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
110060,EE,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
150094,RO,15,300 MG/2 ML,FG,Global,Regular MCO,Platinum,Supply Growth
170097,EC,17,35 MG/7 ML,FG,No,Regular MCO,Gold,Secure
170046,CH,17,5 MG,FG,No,Top MCO,Platinum,Secure
110060,HU,11,50 MG,FG,No,Major MCO,Auto Piloted,Secure
140077,MY,14,"150 MG/1,14 ML",FG,No,Regular MCO,Gold,Secure
300007,AU,3,10 MG,FG,No,Regular MCO,Auto Piloted,Secure
800012,TH,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
150187,RU,15,300 MG/2 ML,FG,Global,Regular MCO,Platinum,Supply Growth
600016,US,6,"2,9 MG/5 ML",FG,No,Top MCO,Platinum,Secure
800002,CA,8,400 IU,FG,No,Top MCO,Gold,Secure
170014,HU,17,35 MG,FG,Global,Major MCO,Platinum,Secure
150002,BE,15,300 MG/2 ML,FG,No,Top MCO,Platinum,Supply Growth
110023,TW,11,50 MG,FG,Global,Regular MCO,Platinum,Secure
600003,CA,6,"2,9 MG/5 ML",FG,Global,Top MCO,Platinum,Secure
110060,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
110016,EG,11,50 MG,FG,Global,Major MCO,Platinum,Secure
110060,NL,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
700010,IL,7,84 MG,FG,No,Major MCO,Gold,Secure
400049,AU,4,2 KIU,FG,No,Regular MCO,Auto Piloted,Secure
110028,CY,11,50 MG,FG,Global,Regular MCO,Platinum,Secure
400066,CA,4,250 IU,FG,No,Top MCO,Platinum,Secure
110061,DE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
110061,EE,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
150098,BH,15,300 MG/2 ML,FG,No,Regular MCO,Gold,Supply Growth
400072,TW,4,2 KIU,FG,No,Regular MCO,Gold,Secure
170068,US,17,35 MG,FG,No,Top MCO,Platinum,Secure
160040,EG,16,500 MG/25 ML,FG,No,Major MCO,Auto Piloted,Supply Growth
700002,CS,7,84 MG,FG,No,Regular MCO,Gold,Secure
150045,DK,15,"200 MG/1,14 ML",FG,Global,Top MCO,Platinum,Supply Growth
400007,CA,4,2 KIU,FG,No,Top MCO,Platinum,Secure
300005,QA,3,10 MG,FG,No,Regular MCO,Gold,Secure
110061,HU,11,50 MG,FG,No,Major MCO,Gold,Secure
110061,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
110045,BR,11,50 MG,FG,Global,Regular MCO,Platinum,Secure
800014,BO,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
700018,RO,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
140050,AT,14,"150 MG/1,14 ML",FG,No,Top MCO,Platinum,Secure
110061,NL,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
600031,SC,6,100 IU/1 ML,FG,No,Regular MCO,Auto Piloted,Secure
170039,EG,17,35 MG,FG,No,Major MCO,Gold,Secure
110062,CI,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
700002,JP,7,84 MG,FG,No,Top MCO,Auto Piloted,Secure
140002,TH,14,"150 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
300021,EX,3,10 MG,FG,No,Regular MCO,Auto Piloted,Secure
110054,BE,11,50 MG,FG,No,Top MCO,Platinum,Secure
140057,NL,14,"200 MG/1,14 ML",FG,No,Top MCO,Platinum,Secure
140043,CZ,14,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
110062,EE,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
150098,SA,15,300 MG/2 ML,FG,No,Regular MCO,Gold,Supply Growth
110062,HU,11,50 MG,FG,No,Major MCO,Auto Piloted,Secure
600039,EG,6,100 IU/1 ML,FG,No,Major MCO,Auto Piloted,Secure
100004,DE,1,3 KIU,FG,No,Top MCO,Gold,Secure
600037,EG,6,100 IU/1 ML,FG,Global,Major MCO,Platinum,Secure
800043,RO,8,400 IU,FG,No,Regular MCO,Gold,Secure
110062,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
600005,M6,6,500 IU/5 ML,FG,No,Regular MCO,Auto Piloted,Secure
600018,DE,6,100 IU/1 ML,FG,No,Top MCO,Gold,Secure
110062,NL,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
150159,GR,15,300 MG/2 ML,FG,No,Major MCO,Auto Piloted,Supply Growth
140078,KW,14,"200 MG/1,14 ML",FG,No,Regular MCO,Gold,Secure
110031,TN,11,50 MG/10 ML,FG,No,Regular MCO,Auto Piloted,Secure
400047,AU,4,500 IU,FG,No,Regular MCO,Auto Piloted,Secure
200022,TW,2,250 IU,FG,No,Regular MCO,Auto Piloted,Supply Growth
800062,M6,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
110064,DE,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
110034,UA,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
150018,TH,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
800046,ID,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
170090,PA,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
150011,IE,15,300 MG/2 ML,FG,Global,Top MCO,Platinum,Supply Growth
110064,FR,11,50 MG/10 ML,FG,No,Top MCO,Platinum,Secure
170053,NA,17,5 MG/1 ML,FG,No,Regular MCO,Auto Piloted,Secure
500002,UN,5,"50 MG/0,5 ML",FG,No,Regular MCO,Auto Piloted,Supply Growth
110064,IE,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
110027,LT,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
110064,NL,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
130022,TW,13,20 MG/5 ML,FG,No,Regular MCO,Auto Piloted,Secure
140013,ES,14,"200 MG/1,14 ML",FG,No,Top MCO,Platinum,Secure
100028,JP,1,2 KIU,FG,Local,Top MCO,Platinum,Secure
600028,SI,6,100 IU/1 ML,FG,Global,Regular MCO,Platinum,Secure
800040,PH,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
100002,DE,1,1 KIU,FG,No,Top MCO,Gold,Secure
120002,AE,12,100 MG/10 ML,FG,No,Regular MCO,Gold,Supply Growth
800082,UY,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
120002,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
120024,DE,12,100 MG/10 ML,FG,No,Top MCO,Gold,Supply Growth
100017,DE,1,500 IU,FG,No,Top MCO,Gold,Secure
600015,US,6,"2,9 MG/5 ML",FG,No,Top MCO,Platinum,Secure
120002,SG,12,100 MG/10 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
800039,AE,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
400053,DE,4,500 IU,FG,No,Top MCO,Gold,Secure
140065,BE,14,"200 MG/1,14 ML",FG,No,Top MCO,Platinum,Secure
700050,DE,7,84 MG,FG,No,Top MCO,Gold,Secure
120003,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
100001,CO,1,500 IU,FG,No,Regular MCO,Auto Piloted,Secure
170019,ME,17,35 MG,FG,Global,Regular MCO,Platinum,Secure
130003,US,13,20 MG/5 ML,FG,Global,Top MCO,Platinum,Secure
130044,MY,13,20 MG/5 ML,FG,No,Regular MCO,Auto Piloted,Secure
200012,JP,2,250 IU,FG,No,Top MCO,Auto Piloted,Supply Growth
100048,CA,1,2 KIU,FG,No,Top MCO,Platinum,Secure
140018,FI,14,"150 MG/1,14 ML",FG,No,Top MCO,Platinum,Secure
600031,BH,6,100 IU/1 ML,FG,No,Regular MCO,Auto Piloted,Secure
110058,IT,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
120002,QA,12,100 MG/10 ML,FG,No,Regular MCO,Gold,Supply Growth
600047,DE,6,100 IU/1 ML,FG,No,Top MCO,Auto Piloted,Secure
120003,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
120004,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
700033,DE,7,84 MG,FG,No,Top MCO,Platinum,Secure
120004,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
170003,TH,17,5 MG/1 ML,FG,No,Regular MCO,Auto Piloted,Secure
200022,AU,2,250 IU,FG,No,Regular MCO,Auto Piloted,Supply Growth
160021,FR,16,500 MG/25 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
120005,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
300023,CN,3,10 MG,FG,No,Top MCO,Platinum,Secure
120005,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
110047,DE,11,50 MG/10 ML,FG,No,Top MCO,Gold,Secure
170001,NA,17,35 MG/7 ML,FG,No,Regular MCO,Auto Piloted,Secure
800068,US,8,400 IU,FG,No,Top MCO,Platinum,Secure
300005,UA,3,10 MG,FG,No,Regular MCO,Auto Piloted,Secure
160073,US,16,500 MG/25 ML,FG,No,Top MCO,Platinum,Supply Growth
140043,NA,14,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
120006,DE,12,100 MG/10 ML,FG,Global,Top MCO,Platinum,Supply Growth
150085,FR,15,"200 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Supply Growth
150220,KW,15,300 MG/2 ML,FG,No,Regular MCO,Gold,Supply Growth
120006,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
120006,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
800002,RU,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
170019,EG,17,35 MG,FG,No,Major MCO,Auto Piloted,Secure
170003,AU,17,5 MG/1 ML,FG,No,Regular MCO,Auto Piloted,Secure
150056,IL,15,"200 MG/1,14 ML",FG,No,Major MCO,Gold,Supply Growth
120007,DE,12,100 MG/10 ML,FG,Global,Top MCO,Platinum,Supply Growth
140015,GB,14,"200 MG/1,14 ML",FG,No,Top MCO,Platinum,Secure
150035,PT,15,300 MG/2 ML,FG,Global,Top MCO,Platinum,Supply Growth
800040,MA,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
150070,CO,15,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Supply Growth
150196,AT,15,300 MG/2 ML,FG,No,Top MCO,Platinum,Supply Growth
200023,CN,2,500 IU,FG,No,Top MCO,Auto Piloted,Supply Growth
120007,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
120007,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
100015,TW,1,3 KIU,FG,No,Regular MCO,Gold,Secure
300007,EX,3,10 MG,FG,No,Regular MCO,Auto Piloted,Secure
120008,DE,12,100 MG/10 ML,FG,Global,Top MCO,Platinum,Supply Growth
120008,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
140006,AT,14,"200 MG/1,14 ML",FG,No,Top MCO,Platinum,Secure
800046,PY,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
700023,DE,7,84 MG,FG,No,Top MCO,Gold,Secure
110038,CR,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
140031,FR,14,"200 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Secure
110051,TR,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
150106,CO,15,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Supply Growth
120008,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
110044,CR,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
800063,US,8,400 IU,FG,No,Top MCO,Platinum,Secure
150022,CH,15,300 MG/2 ML,FG,No,Top MCO,Platinum,Supply Growth
110054,PH,11,50 MG,FG,No,Regular MCO,Gold,Secure
120009,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
120009,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
800002,CS,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
160058,EX,16,500 MG/25 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
150051,EX,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
140013,BG,14,"200 MG/1,14 ML",FG,No,Regular MCO,Gold,Secure
120010,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
400055,NA,4,750 IU,FG,No,Regular MCO,Auto Piloted,Secure
150097,TR,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110061,BA,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
120010,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
110066,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
170097,CR,17,35 MG/7 ML,FG,No,Regular MCO,Auto Piloted,Secure
120013,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
150002,TH,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
160028,FR,16,500 MG/25 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
110040,OM,11,50 MG,FG,Global,Regular MCO,Platinum,Secure
120013,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
110017,CH,11,50 MG,FG,Global,Top MCO,Platinum,Secure
800032,HR,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
140029,DB,14,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
160072,AT,16,MEDICAL SUPPLIES,FG,No,Top MCO,Platinum,Supply Growth
120014,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
900007,NL,9,6 MG/3 ML,FG,No,Top MCO,Auto Piloted,Secure
120014,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
150163,FR,15,"200 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Supply Growth
110018,CH,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
110016,SK,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
800078,M6,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
140019,FR,14,"150 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Secure
170020,UA,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
120015,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
110064,HR,11,50 MG/10 ML,FG,No,Regular MCO,Auto Piloted,Secure
120015,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
700021,RU,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
100038,AU,1,1 KIU,FG,No,Regular MCO,Auto Piloted,Secure
170024,TH,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
800019,DO,8,400 IU,FG,No,Regular MCO,Gold,Secure
800044,UN,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
120016,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
110017,HR,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
110014,SE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
120017,FR,12,100 MG/10 ML,FG,No,Top MCO,Platinum,Supply Growth
110029,CH,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
120017,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
140063,EX,14,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
110016,CS,11,50 MG,FG,No,Regular MCO,Gold,Secure
110016,AL,11,50 MG,FG,Global,Regular MCO,Platinum,Secure
170092,NO,17,35 MG,FG,No,Top MCO,Auto Piloted,Secure
110037,TW,11,50 MG/ML,FG,No,Regular MCO,Auto Piloted,Secure
110016,AR,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
400024,DE,4,2 KIU,FG,No,Top MCO,Gold,Secure
130043,CL,13,20 MG/5 ML,FG,No,Regular MCO,Auto Piloted,Secure
150108,DB,15,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Supply Growth
170007,CC,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
120017,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
400006,UN,4,3 KIU,FG,No,Regular MCO,Auto Piloted,Secure
800032,BE,8,400 IU,FG,No,Top MCO,Auto Piloted,Secure
600031,RS,6,100 IU/1 ML,FG,No,Regular MCO,Auto Piloted,Secure
150001,CN,15,300 MG/2 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
120018,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
200002,US,2,1000 IU,FG,No,Top MCO,Auto Piloted,Supply Growth
800082,IQ,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
120018,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
700002,UY,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
110062,CC,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
600061,US,6,"2,9 MG/5 ML",FG,No,Top MCO,Auto Piloted,Secure
130046,MA,13,20 MG/5 ML,FG,Global,Regular MCO,Platinum,Secure
120019,HU,12,100 MG/10 ML,FG,Global,Major MCO,Platinum,Supply Growth
800060,CI,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
170089,0,17,5 MG,FG,No,Regular MCO,Auto Piloted,Secure
120019,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
170094,UA,17,5 MG/1 ML,FG,No,Regular MCO,Auto Piloted,Secure
170014,TW,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
800040,LT,8,400 IU,FG,No,Regular MCO,Platinum,Secure
150025,AU,15,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Supply Growth
170019,KW,17,35 MG,FG,No,Regular MCO,Gold,Secure
800074,CS,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
120019,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
140084,DE,14,"200 MG/1,14 ML",FG,No,Top MCO,Platinum,Secure
140065,FR,14,"200 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Secure
800035,ES,8,400 IU,FG,Global,Top MCO,Platinum,Secure
120020,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
800032,SP,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
120020,NL,12,100 MG/10 ML,FG,No,Top MCO,Platinum,Supply Growth
700009,SP,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
300002,CH,3,10 MG,FG,No,Top MCO,Auto Piloted,Secure
170004,TH,17,5 MG/1 ML,FG,No,Regular MCO,Auto Piloted,Secure
170004,US,17,5 MG/1 ML,FG,No,Top MCO,Platinum,Secure
600032,US,6,"2,9 MG/5 ML",FG,No,Top MCO,Platinum,Secure
120021,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
100015,HK,1,3 KIU,FG,No,Regular MCO,Gold,Secure
800043,IR,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
150001,KW,15,300 MG/2 ML,FG,No,Regular MCO,Gold,Supply Growth
170066,US,17,35 MG/7 ML,FG,No,Top MCO,Platinum,Secure
400011,US,4,1 KIU,FG,No,Top MCO,Platinum,Secure
110041,MA,11,50 MG/10 ML,FG,No,Regular MCO,Auto Piloted,Secure
120022,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
160038,FR,16,100 MG/5 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
110059,IT,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
160027,DB,16,500 MG/25 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
120022,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
800082,CN,8,400 IU,FG,No,Top MCO,Auto Piloted,Secure
400035,EX,4,500 IU,FG,No,Regular MCO,Auto Piloted,Secure
600025,HU,6,100 IU/1 ML,FG,Global,Major MCO,Platinum,Secure
120023,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
300014,SK,3,10 MG,FG,Global,Regular MCO,Platinum,Secure
700010,PT,7,84 MG,FG,No,Top MCO,Platinum,Secure
700003,FI,7,84 MG,FG,No,Top MCO,Platinum,Secure
150221,CT,15,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Supply Growth
120023,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
150011,GB,15,300 MG/2 ML,FG,Global,Top MCO,Platinum,Supply Growth
700012,PL,7,84 MG,FG,No,Major MCO,Auto Piloted,Secure
300007,IQ,3,10 MG,FG,No,Regular MCO,Auto Piloted,Secure
140075,DB,14,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
110027,CO,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
150212,CN,15,"200 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Supply Growth
700010,PL,7,84 MG,FG,No,Major MCO,Gold,Secure
170008,UA,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
800074,TW,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
140020,FR,14,"200 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Secure
170083,NA,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
110040,BE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
110040,EG,11,50 MG,FG,No,Major MCO,Gold,Secure
120024,IE,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
110016,JP,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
120024,NL,12,100 MG/10 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
170017,CH,17,35 MG,FG,No,Top MCO,Auto Piloted,Secure
